Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
J3,Screw_Terminal_01x02,TerminalBlock_4Ucon_1x02_P3.50mm_Horizontal,23.9,-26.75,90.0,top
J3,Screw_Terminal_01x02,TerminalBlock_4Ucon_1x02_P3.50mm_Horizontal,23.9,-44.5,90.0,top
J4,Screw_Terminal_01x13,TerminalBlock_Xinya_XY308-2.54-13P_1x13_P2.54mm_Horizontal,227.5,-42.04,-90.0,top
R1,10,R_Axial_DIN0918_L18.0mm_D9.0mm_P22.86mm_Horizontal,50.57,-43.5,0.0,top
R10,10,R_Axial_DIN0918_L18.0mm_D9.0mm_P22.86mm_Horizontal,105.07,-80.5,180.0,top
R11,10,R_Axial_DIN0918_L18.0mm_D9.0mm_P22.86mm_Horizontal,78.07,-80.5,180.0,top
R12,10,R_Axial_DIN0918_L18.0mm_D9.0mm_P22.86mm_Horizontal,50.57,-80.5,180.0,top
R13,0.1,R_1206_3216Metric,25.5375,-57.0,0.0,top
R14,1,R_0805_2012Metric,39.07,-68.4125,90.0,top
R15,1,R_0805_2012Metric,64.07,-68.5,90.0,top
R16,1,R_0805_2012Metric,91.57,-68.9125,90.0,top
R17,1,R_0805_2012Metric,118.57,-68.9125,90.0,top
R18,1,R_0805_2012Metric,145.57,-68.9125,90.0,top
R19,1,R_0805_2012Metric,173.07,-68.9125,90.0,top
R2,10,R_Axial_DIN0918_L18.0mm_D9.0mm_P22.86mm_Horizontal,78.07,-43.5,0.0,top
R20,1,R_0805_2012Metric,198.57,-68.9125,90.0,top
R21,1,R_0805_2012Metric,173.5,-30.9125,90.0,top
R22,1,R_0805_2012Metric,146.5,-31.0,90.0,top
R23,1,R_0805_2012Metric,119.0,-30.9125,90.0,top
R24,1,R_0805_2012Metric,92.0,-30.9125,90.0,top
R25,1,R_0805_2012Metric,64.5,-31.0,90.0,top
R26,1,R_0805_2012Metric,39.5,-30.9125,90.0,top
R3,10,R_Axial_DIN0918_L18.0mm_D9.0mm_P22.86mm_Horizontal,105.57,-43.5,0.0,top
R4,10,R_Axial_DIN0918_L18.0mm_D9.0mm_P22.86mm_Horizontal,133.0,-43.5,0.0,top
R5,10,R_Axial_DIN0918_L18.0mm_D9.0mm_P22.86mm_Horizontal,160.07,-43.5,0.0,top
R6,10,R_Axial_DIN0918_L18.0mm_D9.0mm_P22.86mm_Horizontal,187.07,-43.5,0.0,top
R7,10,R_Axial_DIN0918_L18.0mm_D9.0mm_P22.86mm_Horizontal,186.57,-80.5,180.0,top
R8,10,R_Axial_DIN0918_L18.0mm_D9.0mm_P22.86mm_Horizontal,159.64,-80.5,180.0,top
R9,10,R_Axial_DIN0918_L18.0mm_D9.0mm_P22.86mm_Horizontal,132.07,-80.5,180.0,top
TP1,TestPoint,TestPoint_Keystone_5010-5014_Multipurpose,39.5,-35.5,0.0,top
TP10,TestPoint,TestPoint_Keystone_5010-5014_Multipurpose,146.5,-26.5,0.0,top
TP11,TestPoint,TestPoint_Keystone_5010-5014_Multipurpose,173.5,-36.0,0.0,top
TP12,TestPoint,TestPoint_Keystone_5010-5014_Multipurpose,173.5,-26.5,0.0,top
TP13,TestPoint,TestPoint_Keystone_5010-5014_Multipurpose,198.57,-73.5,0.0,top
TP14,TestPoint,TestPoint_Keystone_5010-5014_Multipurpose,198.57,-63.5,0.0,top
TP15,TestPoint,TestPoint_Keystone_5010-5014_Multipurpose,173.07,-73.5,0.0,top
TP16,TestPoint,TestPoint_Keystone_5010-5014_Multipurpose,173.07,-63.5,0.0,top
TP17,TestPoint,TestPoint_Keystone_5010-5014_Multipurpose,145.57,-73.0,0.0,top
TP18,TestPoint,TestPoint_Keystone_5010-5014_Multipurpose,145.57,-64.5,0.0,top
TP19,TestPoint,TestPoint_Keystone_5010-5014_Multipurpose,118.57,-73.0,0.0,top
TP2,TestPoint,TestPoint_Keystone_5010-5014_Multipurpose,39.5,-26.5,0.0,top
TP20,TestPoint,TestPoint_Keystone_5010-5014_Multipurpose,118.57,-64.5,0.0,top
TP21,TestPoint,TestPoint_Keystone_5010-5014_Multipurpose,91.57,-73.5,0.0,top
TP22,TestPoint,TestPoint_Keystone_5010-5014_Multipurpose,91.57,-64.5,0.0,top
TP23,TestPoint,TestPoint_Keystone_5010-5014_Multipurpose,64.07,-73.5,0.0,top
TP24,TestPoint,TestPoint_Keystone_5010-5014_Multipurpose,64.07,-64.5,0.0,top
TP25,TestPoint,TestPoint_Keystone_5010-5014_Multipurpose,39.07,-73.0,0.0,top
TP26,TestPoint,TestPoint_Keystone_5010-5014_Multipurpose,39.07,-64.0,0.0,top
TP27,TestPoint,TestPoint_Keystone_5010-5014_Multipurpose,20.0,-57.0,0.0,top
TP28,TestPoint,TestPoint_Keystone_5010-5014_Multipurpose,31.0,-57.0,0.0,top
TP3,TestPoint,TestPoint_Keystone_5010-5014_Multipurpose,64.5,-35.5,0.0,top
TP4,TestPoint,TestPoint_Keystone_5010-5014_Multipurpose,64.5,-26.5,0.0,top
TP5,TestPoint,TestPoint_Keystone_5010-5014_Multipurpose,92.0,-36.0,0.0,top
TP6,TestPoint,TestPoint_Keystone_5010-5014_Multipurpose,92.0,-26.0,0.0,top
TP7,TestPoint,TestPoint_Keystone_5010-5014_Multipurpose,119.0,-35.5,0.0,top
TP8,TestPoint,TestPoint_Keystone_5010-5014_Multipurpose,119.0,-26.0,0.0,top
TP9,TestPoint,TestPoint_Keystone_5010-5014_Multipurpose,146.5,-35.5,0.0,top
